!   Satellite/Sensor   YYYYMMDDHH   #chan
       amsua_metop-a   2014012100      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.801GHz    -1        11887        -9999   205.459 -9999.999    -0.393     5.713 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     2    31.401GHz    -1        11887        -9999   195.489 -9999.999     0.406     6.324 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     3    50.300GHz    -1        11887        -9999   239.603 -9999.999     1.126     3.883 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     4    52.800GHz     1        11887         8310   253.568   255.077    -0.822     1.076     0.049     0.364     0.952     0.183    -0.870     0.999    -0.870     0.976    -0.162     0.000     0.004     0.051    -0.101     0.146     0.115     0.122     0.144     0.287 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     5    53.596GHz     1        11887         8310   245.901   247.534    -1.004     0.626     0.040     0.237     0.462     0.340    -1.044     0.579    -1.027     0.583    -0.020     0.000     0.001     0.010    -0.030     0.055     0.025     0.021     0.008     0.015 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     6    54.401GHz     1        11887        10994   231.429   231.664    -1.391     0.451     0.026     0.172     0.348     0.315    -1.416     0.425    -1.429     0.411     0.028     0.000     0.000     0.001    -0.047     0.110     0.033     0.025    -0.002     0.005 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     7    54.940GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     8    55.500GHz     1        11887        11674   215.556   215.575    -1.217     0.552     0.037     0.275     0.373     0.695    -1.254     0.473    -1.217     0.415     0.106     0.000    -0.008     0.054    -0.097     0.220    -0.038     0.036     0.000     0.001 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     9    57.290GHz     1        11887        11828   211.398   211.419    -0.965     0.431     0.042     0.222     0.373     0.467    -1.007     0.383    -0.990     0.383    -0.020     0.000    -0.003     0.020     0.010     0.046    -0.004     0.006     0.000     0.001 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    10    57.290GHz     1        11887        11873   215.948   215.957    -0.693     0.449     0.019     0.268     0.522     0.332    -0.712     0.382    -0.707     0.363    -0.014     0.000    -0.004     0.028     0.025     0.130    -0.014     0.013     0.001     0.004 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    11    57.290GHz     1        11887        11857   223.172   223.181    -0.725     0.485    -0.013     0.322     0.596     0.378    -0.712     0.383    -0.749     0.380     0.032     0.000    -0.002     0.014     0.007     0.062     0.001     0.002    -0.001     0.003 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1        11877        11866   231.963   231.964    -0.651     0.594    -0.058     0.442     0.820     0.368    -0.593     0.406    -0.639     0.400     0.054     0.000    -0.003     0.023    -0.012     0.117     0.007     0.014    -0.001     0.002 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    13    57.290GHz     1        11859        11790   242.137   242.143    -0.945     0.802    -0.068     0.675     1.192     0.411    -0.877     0.397    -0.905     0.404    -0.005     0.000     0.003     0.019    -0.006     0.037     0.033     0.063     0.004     0.012 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    14    57.290GHz     4        11882        11833   251.387   251.403    -0.219     1.180    -0.219     1.180     4.469     0.095     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1        11887        -9999   238.108 -9999.999     2.390     6.533 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
