!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n18   2014020100      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.801GHz    -1        11876        -9999   207.332 -9999.999     0.456     5.685 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     2    31.400GHz    -1        11876        -9999   196.315 -9999.999     1.194     6.322 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     3    50.300GHz    -1        11876        -9999   239.443 -9999.999     0.420     3.706 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
     4    52.800GHz     1        11876         8103   253.663   255.948    -1.357     0.897     0.016     0.318     0.682     0.237    -1.373     0.855    -1.388     0.816    -0.085     0.000     0.005     0.022    -0.042     0.076     0.044     0.053     0.094     0.204     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
     5    53.596GHz     1        11876         8103   245.990   248.173    -1.175     0.657    -0.015     0.232     0.319     0.544    -1.161     0.625    -1.187     0.617     0.071     0.000     0.003     0.015    -0.040     0.062    -0.016     0.014     0.008     0.016     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
     6    54.400GHz     1        11876        11399   231.294   231.339    -1.550     0.414    -0.009     0.170     0.233     0.531    -1.541     0.368    -1.549     0.354     0.056     0.000     0.000     0.003    -0.047     0.105    -0.001     0.000    -0.001     0.003     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
     7    54.940GHz     1        11876        11815   221.431   221.409    -1.896     0.403    -0.012     0.188     0.230     0.671    -1.883     0.362    -1.904     0.282     0.126     0.000    -0.005     0.030    -0.100     0.225    -0.003     0.002     0.002     0.006     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
     8    55.500GHz     1        11876        11791   215.133   215.101    -1.433     0.501    -0.016     0.230     0.250     0.848    -1.417     0.453    -1.431     0.410     0.153     0.000    -0.012     0.066    -0.076     0.174    -0.053     0.053     0.002     0.006     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
     9    57.290GHz    -1        11876        -9999   211.024 -9999.999    -1.251     0.374 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    10    57.290GHz     1        11876        11817   215.313   215.267    -1.010     0.400    -0.008     0.250     0.350     0.512    -1.002     0.325    -1.032     0.321     0.050     0.000    -0.002     0.011     0.006     0.058    -0.026     0.028     0.002     0.008     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
    11    57.290GHz     1        11876        11818   222.213   222.175    -1.068     0.433    -0.031     0.288     0.400     0.523    -1.037     0.349    -1.078     0.347     0.044     0.000    -0.002     0.010     0.002     0.019    -0.004     0.007     0.001     0.003     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1        11874        11806   231.206   231.169    -0.735     0.549    -0.047     0.421     0.550     0.594    -0.688     0.365    -0.741     0.351     0.081     0.000    -0.007     0.040    -0.029     0.162     0.007     0.015     0.001     0.003     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
    13    57.290GHz     1        11870        11794   241.647   241.603    -0.629     0.779    -0.103     0.661     0.800     0.699    -0.527     0.375    -0.640     0.359     0.154     0.000    -0.003     0.016    -0.039     0.175     0.002     0.005    -0.001     0.004     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
    14    57.290GHz     4        11876        11814   251.603   251.566    -0.300     1.142    -0.300     1.142     5.000     0.056     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000 -9999.999 -9999.999 -9999.999 -9999.999
    15    89.010GHz    -1        11876        -9999   236.991 -9999.999     1.246     5.859 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
